,before,word,after
0, We wish to acknowledge the dedica- tion and ,determination of," the researchers worldwide who haveproduced the outstanding research we have discussed in this review, in addition to all the research we did not have space to include"
1, This ,showed a,n unanticipated diversity of cardiac cell types and allowed the separation of endothelial cells into previously uncharacterized sub- populations
2,",80who ",showed a," consistent presence of ACE2 in cardiac tissue, with expression levels even higher than those in the lung, by carrying out a comparative screen of ACE2 mRNA expression in different human organs based on theGTEx database"
3, The year 2020 has brought relevant data to improve ,our understanding of the, patho- physiological mechanisms behind IR and has identified new potentialtherapeutic targets to limit infarct size and the consequent adversecardiac remodelling
4, A recent genetic screen conducted in zebrafish shed new light on the role of endothelial cells in antagonizing doxorubicin damage; ,"Indeed,", reti- noid X receptor alpha a (i
5, ,"Indeed,", a human cardiac organoid disease model with chronic adrenergic stimulation was opti- mized by combining iPS-cardiomyocyte biology with a tissue engineeringapproach
6, Intravenous statin administration during myocardial infarction ,compared with, oral post-infarct administration
7, Novel ,approaches,", such as a glycocalyx mimetic, were used to improve cardiac recoveryfollowing MI"
8, Several studies demon- strated that exosome- and non-coding RNA-mediated ,approaches, can enhance human induced pluripotent stem cell (iPSC) viability and differentiation into mature cardiomyocytes
9, Regarding novel ,approaches," and opportunities for cardioprotection, the Panitch lab proposed a new therapeutic approach to limit IR injuryby interfering with leukocyte recruitment and attachment at the site of injury"
10, 3Other novel therapeutic ,approaches, to limit cardiac damage and lessen adverse cardiac remodelling have also been pro-posed
11," Through specificreceptor-binding on the membrane of atrial fibroblasts, cardiomyocyte- released calcitonin acts as a paracrine signal controlling cell proliferation and BMP1 (bone morphogenetic protein-type 1)-related collagen proc- essing, as demonstrated by single-cell RNA sequencing and proteomic ",approaches,
12, Using differentmechanistic ,approaches,", the authors identified lncRNA H19 as a media-tor of the pro-angiogenic effects induced by the atorvastatin-pretreated MSCs"
13," Thus, while some studies suggest that iPSC-CM may be able to re- store the damaged heart, other studies suggest that additional",approaches, such as those mediated through paracrine mechanisms maybe required to provide meaningful benefit
14," Nevertheless, this understanding is needed to allow optimiza- tion of ad hoc cardioprotective ",approaches,
15," 24 At present, preclinical heart research in mammals focuses mainly on left ventricle myocardial infarction or cardiac ischaemic- or cardiotoxicinjury models ",with the aim of, modelling the adult clinical scenario
16," SLIT2 and Nephronectin (NPNT) were identified as fibroblast-derived ECMreference components exerting proli ferative effects, thus revealing two putative molecular candidates for further investigation on themechanisms ",underlying, bona fide cardiomyocyte cytokinesis from embryonic to adult stages
17," Importantly, the study provided novel evidence implicating cardiovascular-related miRNAs and particularly miR-126 andits molecular targets (SPRED1/VEGF) as mechanistic effectors ",underlying,the vascular protective ability and cardioprotective properties of exer-cise training
