,before,word,after
0," In male mice, 30 min of ischemia followed by 90 min of reperfusion was  characterized by a loss of intestinal epithelial barrier integrity that paralleled increased  endothelial/leukocyte interactions and reduction in blood flow ",resulting from, a reduction in  flow rate and the number of capillaries perfused
1," Author Manuscript Author Manuscript Author Manuscript Author Manuscript mechanisms to reversibly alter fluid distributions to accommodate pregnancy, the multiple  factors regulating fluid and solute flux will ",differ between, males and females
2, Age-associated alterations in  retinal arteriole reactivity to endothelin-1 ,differ between, the sexes
3, One reason considering EC heterogeneity is  important is that sampling a limited number of EC in vivo or in culture may reflect the  behaviors of selected populations giving rise to a false or skewed understanding of the  etiology of disease or ,approaches, for ameliorating the disease state
4, The small size and large numbers of microvessels make them diffi- cult to image and confirm coronary micro-vascular dysfunction in women especially using  ,approaches," developed for detecting CHD in males [ 91, 92]"
5, Targeting the vessel underdogs: therapeutic ,approaches, for microvessel  dysfunction in the heart
6," These studies are germane  to microvascular, particularly arteriolar, function, ",Given that, sympathetic tone (including Huxley and Kemp Page 7 Adv Exp Med Biol 
7," The conclusion from the majority of studies is  that the adaptation is a successive process of first increasing arteriolar tone to protect the  downstream vessels from increases in capillary pressure, ",followed by," structural remodeling  of the arteriolar wall replacing VSM with matrix to maintain a fixed reduction in diameter,  and finally vessel pruning (rarefaction)"
8," In male mice, 30 min of ischemia ",followed by, 90 min of reperfusion was  characterized by a loss of intestinal epithelial barrier integrity that paralleled increased  endothelial/leukocyte interactions and reduction in blood flow resulting from a reduction in  flow rate and the number of capillaries perfused
9, The implication being that acute loss of barrier function is  limited by ,the presence of, the pericytes
10,"  In contrast, CHD in males is a macrovascular disease characterized by ",the presence of,  coronary occlusion and deposition of plaque [ 23]
11, In ,the presence of," natriuretic peptides (ANP, BNP, or CNP), components of the glycocalyx,  including syndican-1, have been shown to be released into coronary effluent of isolated, per- fused guinea pig hearts [ 56]"
12," In turn, inflammatory cytokine action is sensitive to ",the presence of," estrogen and  testosterone, respectively [ 64, 118]"
13, The review of the literature further illustrated  ,The importance of, age (in Tables 20
14, Constituents of the Microvasculature Multiple definitions of the “microvasculature” exist ,based on, size and anatomical location  [105]
15," In the white gastrocnemius  muscle, there was ",evidence of, micro-vessel loss in the males but not the females
16," In fact,  even following 4 weeks of the high-salt diet, the females remained free of ",evidence of,"  micro-vascular remodeling and normotensive at 105 ± 5 mmHg, whereas MAP had risen to  160 ± 8 in their male counterparts where rarefaction was now discernable in both the white  and red gastrocnemius  as well as the soleus  and plantaris  muscles [ 90]"
17,3 μm ,facilitating, the  exchange of fluid and solutes
18," Additional factors favoring  exchange are the high density/large number of capillary segments providing small distances  between exchange elements and a huge surface area, the thin attenuated EC structure that  provides a large area of lipid ",facilitating," exchange of hydrophobic materials, and thin  junctions favoring diffusion of hydrophilic solutes"
19," Many studies of in vivo blood flow  control, for example, have used the cremaster muscle in males because the tissue is thin  ",facilitating, study in the living tissue by light microscopy
20, The review of the literature further illustrated  ,the importance of, age (in Tables 20
21, The conclusion from ,the majority of studies," is  that the adaptation is a successive process of first increasing arteriolar tone to protect the  downstream vessels from increases in capillary pressure, followed by structural remodeling  of the arteriolar wall replacing VSM with matrix to maintain a fixed reduction in diameter,  and finally vessel pruning (rarefaction)"
22, The glycocalyx can act as a sensor of fluid flow and offers  significant ,resistance to," solute and fluid transport [ 44–46, 48, 55], and its structure/ composition can be altered by disease [ 79, 102]"
23," To date, though, no studies have ",focused, on sex  differences in pericyte function or dysfunction
24, ,evaluation of, the  endothelial glycocalyx damage in patients with acute coronary syndrome
25, ,although," the features presently identified  to “have sex” range from differences in growth, morphology, protein expression, and intracellular  signaling, males and females alike achieve homeostasis, likely by different means"
26," At the level of the mesenteric microvasculature, though, arteriolar  reactivity, while reduced in males, remained unchanged by CH in females; eNOS protein  expression in these vessels was unchanged ",although, EC calcium was elevated in CH females  compared to controls [ 34]
27, This prediction ,needs to, be tested in vivo for both lactate and  other EC-generated hormones and mediators
28," The net driving  force for fluid and solute, the difference in these two values, appears to favor filtration in  females over males; this conclusion is another thing that ",needs to, be evaluated in vivo
29," The conclusion of the study was that whereas LBNP is a suitable  intervention to combat orthostatic changes in men, another approach ",needs to, be designed  for women
30," Once developed, sex  ",needs to," be considered when diagnosing, implementing preventive strategies, and treating  diseases involving microvascular functions"
31, The microvessels are also the sites most likely to  experience changes in function early in the development of ,numerous," acute life-threatening  conditions such as sepsis and disseminated intravascular coagulation (DIC) [ 28, 36, 68] to  chronic diseases spanning from diabetes, obesity, and Alzheimer’s to heart failure [ 22, 41,  52, 67, 82, 113]"
32,  Diagram of sexually dimorphic constituents ,identified in, male and female humans  influencing the three primary functions of the microvasculature: 1
33," Just as it is recognized that males  and females of the same species have differing metabolic requirements, is it not ",likely, that the  microvasculature serving these tissues will differ by sex? This section focusing on the constituents  of the microcirculation identifies what is known presently about the role sex plays in matching  metabolic demand with microvascular function and areas requiring additional study
34," Although the features presently identified  to “have sex” range from differences in growth, morphology, protein expression, and intracellular  signaling, males and females alike achieve homeostasis, ",likely, by different means
35, The microvessels are also the sites most ,likely," to  experience changes in function early in the development of numerous acute life-threatening  conditions such as sepsis and disseminated intravascular coagulation (DIC) [ 28, 36, 68] to  chronic diseases spanning from diabetes, obesity, and Alzheimer’s to heart failure [ 22, 41,  52, 67, 82, 113]"
36," The  EC are incredibly heterogeneous, ",likely, reflecting these spectra of functions
37, This apparent “noise” ,likely," reflects the  early point in time of this research as all the systems described actually are multifactorial  and most of the factors in health, no less disease, have yet to be studied equally in males and  females"
38," The major implication is that for a given stressor, the responses in males and females,  and the resulting pathology should the stressor not be removed, are ",likely, to differ
39, The present state of confusion ,likely, reflects the lack of data
40," In response to  chronic hypoxia (CH) at the whole animal level equivalent, sex-independent changes in total  peripheral resistance were observed, and in both sexes pressor responses were similarly  ",reduce,d following CH
41," At the level of the mesenteric microvasculature, though, arteriolar  reactivity, while ",reduce,"d in males, remained unchanged by CH in females; eNOS protein  expression in these vessels was unchanged although EC calcium was elevated in CH females  compared to controls [ 34]"
42, This consideration of  multiple variables controlled by microvascular cerebral vessel function is especially  important as a ,reduce,"d response to hypercapnia is associated with elevated risk of stroke and  increased cognitive decline, two identified sexually dimorphic risk factors [ 78]"
43," In males, insulin ",reduce,d both total protein and albumin clearance rates; insulin  reduced total protein clearance and was without effect on protein clearance in the females
44," While apparently not a large difference  (>10%), the predictions are that the area of water-filled perimeter per capillary segment will  be greater in females ",suggesting that, hydrophilic solute flux would be greater in females  than males
45, Adaptation of coronary microvascular exchange in arterioles  and venules to exercise training and ,a role for, sex in determining permeability responses
46, ,a role for, pericytes in coronary no-reflow
47," At the level of the mesenteric microvasculature, though, arteriolar  reactivity, while reduced in males, remained unchanged by CH in females; eNOS protein  ",expression in the,se vessels was unchanged although EC calcium was elevated in CH females  compared to controls [ 34]
48," The membranes of capillary EC also  contain water channels, the aquaporins, through which water can flow exclusively, and  vesicular structures, caveoli, that contain receptor and enzyme complexes that facilitate  localization of ",interaction,s in the face of a flowing medium
49," In addition, the surface of the  EC also possesses an extensive, charged carbohydrate structure, the glycocalyx, that also  serves as a relatively unstirred region near the surface that also facilitates ligand ",interaction,  in a changing environment
50," The glycocalyx is also present on the venular endothelial cells; in addition  to participating as a resistor to solute and fluid flux, the structure limits access to endothelial  ligands mediating not only receptor access but also white cell ",interaction,s [ 70]
51," In male mice, 30 min of ischemia followed by 90 min of reperfusion was  characterized by a loss of intestinal epithelial barrier integrity that paralleled increased  endothelial/leukocyte ",interaction,s and reduction in blood flow resulting from a reduction in  flow rate and the number of capillaries perfused
52, It is in the venules draining the capillary tree that the majority of white blood cell/ endothelial cell (WBC/EC) ,interaction,"s are observed, and it is in these vessels, with their  lower hydrostatic pressure and relatively low flow rates, that increases in vascular leakage to  proteins as well as white cell diapedesis are observed [ 105]"
53, Venules are also the site of  integrin expression by EC in response to cytokines that promote WBC/EC ,interaction,"s [ 20,  87]"
54, Under basal conditions observations of in situ venular perfusion demonstrate no discernable  difference between males and females with respect to WBC/EC ,interaction,s in the hamster  cheek pouch [ 89]
55, While basal white cell/EC ,interaction,"s did not differ in this preparation,  permeability responses to ischemia/reperfusion (I/R) injury in the venous vasculature did"
56,"  Following the I/R insult, fluorescently labeled dextrans were observed to egress more from  the venules of males relative to the females clearly demonstrating that the loss of barrier  function was apparently independent of WBC/EC ",interaction,s [ 89]
57," Sepsis results in loss of barrier integrity and, like inflammation, is accompanied by increases  in WBC/EC ",interaction,s
58, Among the factors implicated in this difference are estrogen  and its ,interaction,"s with EC and WBC [ 83], estrogen receptor distribution [ 106], sex  differences in glucocorticoid action [ 17], and inflammatory status [ 9], to name but a few  identified factors"
59, The  complex ,interaction,s of the coagulation cascade and their associations with respect to  genomic sex and sex hormones exist and are discussed in the review by [ 99]
60, He P Leucocyte/endothelium ,interaction,s and microvessel permeability: coupled or uncoupled?  Cardiovasc Res
61," In the aggregate, though, they can  profoundly alter phenotype, especially under stressful conditions ",including," pregnancy, exercise,  and disease states ranging from diabetes to heart failure"
62," In turn, EC dysfunction  is a feature common to multiple chronic diseases ",including," diabetes mellitus, heart failure,  and stroke"
63," In the brain, arteriolar responses to vasoactive compounds,  ",including," angiotensin [ 19, 114] and endothelin-1 [ 29, 71], and nitric oxide synthase activity  [88, 115], are sexually dimorphic"
64," These studies are germane  to microvascular, particularly arteriolar, function, given that sympathetic tone (",including, Huxley and Kemp Page 7 Adv Exp Med Biol 
65," The amount of fluid or solute moved across the endothelial barrier is a function of the  architecture of the pathways through and between the endothelial cells, the surface area for  exchange, and the physicochemical properties of the barrier media (",including," the glycocalyx  at the blood/EC interface and the extracellular matrix at the luminal and abluminal surfaces,  respectively) and of the moving material (where size, shape, and charge can be influential)"
66," In the presence of natriuretic peptides (ANP, BNP, or CNP), components of the glycocalyx,  ",including," syndican-1, have been shown to be released into coronary effluent of isolated, per- fused guinea pig hearts [ 56]"
67," Diabetes as a risk factor for stroke in women compared  with men: a systematic review and meta-analysis of 64 cohorts, ",including," 775,385 individuals and  12,539 strokes"
68, ,"In addition,"," they  govern the production and modification of a growing list of circulating vasoactive mediators,  peptides, growth factors, and hormones"
69, ,"In addition,"," the surface of the  EC also possesses an extensive, charged carbohydrate structure, the glycocalyx, that also  serves as a relatively unstirred region near the surface that also facilitates ligand interaction  in a changing environment"
70, ,"In addition,"," especially for water and hydro-philic solutes the size of peptides, hormones, and  proteins, the net transmural pressure gradient is of importance"
71, The microvessels are also the sites most likely to  experience changes in function early in the ,development of," numerous acute life-threatening  conditions such as sepsis and disseminated intravascular coagulation (DIC) [ 28, 36, 68] to  chronic diseases spanning from diabetes, obesity, and Alzheimer’s to heart failure [ 22, 41,  52, 67, 82, 113]"
72, Plasma levels of VEGF are higher in men than women and  are correlated with the ,development of," atherosclerosis [ 62], a disease process shown to  occur more frequently in males"
73, EC are involved in not  only control of barrier function but also participate ,significantly," in immune responses,  inflammation, thrombosis, vascular remodeling, and regulation of arteriolar vessel tone"
74,"2, that while ",significantly,  higher in women than men also vary significantly by ethnicity [ 109]
75,05 or better (refer to specific papers); 1>50 years Mean ± standard deviation (X ± SD); mean ± standard error of the mean X ± SE; NSD  not ,significantly," different, HR heart rate, BP (arterial) blood pressure, MAP  mean arterial pressure, bpm beats per  minute, SV stroke volume, CO cardiac output References1"
76," The relation between  plasma endothelin-1 levels and metabolic control, risk factors, treatment modalities, and diabetic  microangiopathy ",in patients with, Type 2 diabetes mellitus
77, Evaluation of the  endothelial glycocalyx damage ,in patients with, acute coronary syndrome
78, Gender differences in mortality ,in patients with,  severe sepsis or septic shock
79, ,Although," the features presently identified  to “have sex” range from differences in growth, morphology, protein expression, and intracellular  signaling, males and females alike achieve homeostasis, likely by different means"
80," At the level of the mesenteric microvasculature, though, arteriolar  reactivity, while reduced in males, remained unchanged by CH in females; eNOS protein  expression in these vessels was unchanged ",Although, EC calcium was elevated in CH females  compared to controls [ 34]
