,before,word,after
0," Clinically, shedding of the eGC is well ",reported in, systemic inflammation syndrome (i
1," The concentration of hyaluronic acid, a  minor constituent, ",showed a," negative gradient from normal areas to atheromatous areas in  the human aorta, with its biological function being a negative regulator on vascular smooth Kim et al"
2," Therefore, cellular  integral membrane proteins, ",in conjunction with," properties of the extracellular matrix and  the amount of sdc1 shed in the tumor microenvironments, each interactively affect the  modulation mechanism of cell migration [ 11]"
3," In general, further investigation of eGC  quantitative and qualitative structural measures, ",in conjunction with," analytical methods of  function, are required"
4, These findings may be ,confirmed," in patients with severe left ventricular systolic  dysfunction, severe aortic regurgitation, or those who are supported with extracorporeal  mechanical life support, where low shear stress waveforms with shear reversal would be  observed"
5," Nevertheless, more research  is required ",to determine," which enzymes are the main degraders of eGC [ 30, 93]"
6," Areas awaiting further investigation Evaluation of the amount of endothelial glycocalyx in situ —Due to optical  transparency and fragility of eGC, in vivo  virtual characteristics were primarily inferred  through existence of the “exclusion zone” of erythrocytes in the blood-perfused  microvessels, which ",is observed," with light microscopy [ 49, 50]"
7," Consequently, the eGC shedding facilitates more  adhesion of inflammatory cells to the endothelium, which is ",followed by," increased  endothelial permeability and propagation of inflammation [ 8, 9]"
8,"  In contrast, ",the presence of," soluble sdc1 in blood accelerated removal of the tissue-bound  inflammatory chemokines and resolution of the accumulated neutrophils, while multi-organ  injury and lethality were attenuated with infused heparin sulfate [ 2, 13, 14]"
9, The endothelial dysfunction and vascular permeability can be identified using flow,-mediated,"  vascular dilation (FMD) and non-invasive measurement of microvascular leakage with strain  gauge plethysmography [ 65, 66]"
10," In addition to the electrostatic  interaction between albumin and eGC, sphingosine-1 phosphate (S1P)",-mediated, restoration  of the eGC was suggested
11," The endothelial glycocalyx prefers albumin for evoking shear  stress-induced, nitric oxide",-mediated, coronary dilatation
12, ,identification of," distinct luminal domains for macromolecules, erythrocytes,  and leukocytes within mammalian capillaries"
13,"  assigned 120 hypertensive patients to two groups, ",based on, the  presence of heart failure and investigated C-statistics of various combinations of biomarkers  for the diagnosis of heart failure [ 43]
14, ,evidence of, microvascular dysfunction in heart failure  with preserved ejection fraction
15, ,in particular,", rapid freezing  of endothelial cells and use of a novel fixation solution, such as lanthanium (III)-nitrate/ glutaraldehyde, revealed a thicker layer of eGC ex vivo , which was more efficacious  compared to preparation with a conventional fixation method for microscopic analysis [ 35,  52]"
16, Areas awaiting further investigation ,evaluation of," the amount of endothelial glycocalyx in situ —Due to optical  transparency and fragility of eGC, in vivo  virtual characteristics were primarily inferred  through existence of the “exclusion zone” of erythrocytes in the blood-perfused  microvessels, which is observed with light microscopy [ 49, 50]"
17," Despite debates on the precision [ 59], this method is worthy of further investigation  because of limited quantitative methods for in vivo  ",evaluation of, total human eGC volume
18, ,evaluation of, the  endothelial glycocalyx damage in patients with acute coronary syndrome
19, ,evaluation of," resuscitation fluids on  endothelial glycocalyx, venular blood flow, and coagulation function after hemorrhagic shock in  rats"
20, In vivo ,evaluation of, venular  glycocalyx during hemorrhagic shock in rats using intravital microscopy
21," Therefore, cellular  integral membrane proteins, ",In conjunction with," properties of the extracellular matrix and  the amount of sdc1 shed in the tumor microenvironments, each interactively affect the  modulation mechanism of cell migration [ 11]"
22," In general, further investigation of eGC  quantitative and qualitative structural measures, ",In conjunction with," analytical methods of  function, are required"
23, ,defects in, keratinocyte activation during wound healing in  the syndecan-1-deficient mouse
24, Author Manuscript Author Manuscript Author Manuscript Author Manuscript ,although," a growing body of evidence shows degradation of eGC leads to adverse  cardiovascular events, the studies on eGC in the clinical setting remain limited"
25, ,although," soluble sdc1 from the cells may switch malignant cells from proliferative to  invasive phenotypes [ 27], it is unclear whether a high level of soluble sdc1 resulted from  overproduction of sdc1 or excessive shedding from the cells"
26, ,although, differences in hazard ratios of sdc1 for 30-day and 180-day  mortality were significant at 1
27, ,although, the elevated eGC  constituents in serum (i
28,  ,although, the ex vivo  measurements of vessel thickness is extremely variable (0
29, Shedding of syndecan-1 and endothelial dysfunction in heart failure ,although," new validation tests are gaining popularity in studies exploring new biomarkers,  the studies mentioned above did not demonstrate high C-statistics, and the improvement of  net reclassification was only moderate"
30," BNP or NT- proBNP), ",although, addition of novel biomarkers to the traditional diagnostic model may  improve discriminative ability
31, ,although," the authors suggested  “wash-out” of the eGC as a shedding mechanism, it was not clarified whether the “wash- out” was induced by volume expansion or trauma from surgery [ 57]"
32, CONCLUSION ,although," many studies proposed that endothelial dysfunction, particularly concerning the  eGC, might have intervened between cardiovascular diseases and development of adverse  outcomes, the number of studies on this topic are limited"
33, ,identification o,"f distinct luminal domains for macromolecules, erythrocytes,  and leukocytes within mammalian capillaries"
34," In patients with ischemic heart disease or heart failure, elevation of serum  sdc1 has been associated ",with worse,ning cardiac and renal function; however the causal  relationship between degradation of eGC and clinical outcomes is unclear
35," Tumors— In most tumors, ",reduce,"d expression of sdc1 in epithelial-origin tumor cells was  associated with less adhesion of the cells to the extracellular matrix, leading to increased cell  migration/invasion, and eventually poor clinical outcomes [ 16, 17]"
36, ,reduce,"d motility of macrophages in sdc1-null mice also appear to  contribute to augmented atherosclerosis, as lymphatic clearance of sdc1 −/− macrophages  was significantly delayed [ 32]"
37, The  Langendorf model of isolated guinea pig hearts demonstrated that degradation of the eGC  led to ,reduce,"d endothelial barrier function and extravasation of administered starch, which  seems analogous to the fluid shift to the third space as observed in patients with heart failure  [35–37]"
38," In another study by the same investigators, serum  soluble syndecan-4 levels showed significant correlation with left ventricular dilation and  ",reduce,"d left ventricular systolic function in patients with dilated cardiomyopathy, but their  causal relationship was not explained [ 44]"
39, used the double tracer method to demonstrate that acute normo- insulinemic hyperglycemia ,reduce,d the systemic total eGC volume from 1
40," When colloids were infused during  major surgery, the majority of infused colloids extravasated, and the eGC volume was  significantly ",reduce,d regardless of the type of colloids
41," When the  stiffness of eGC from a human umbilical cord artery was directly measured ex vivo  using  atomic force microscopy, increase in sodium concentration induced eGC stiffening and  ",reduce,d heparin sulfate residues by 68% [ 84]
42," Bacterial endotoxin in sepsis is thought to initiate  the endothelial perturbation in a TNF- α mediated manner [ 89], and ",reduce,d thickness and  stiffness of eGC was demonstrated in experimental models exposed to lipopolysaccharide or  TNF-α [92]
43, Mice deficient of the TNF- α receptor did not show ,reduce,"d thickness in the  endothelial surface layer, and inhibition of heparinase prevented endotoxemia-induced  degradation of eGC [ 2]"
44," In cultured endothelial cells, expression of heparin  sulfate on the cell surface was accelerated with atheroprotective shear stress waveforms,  which has relatively “high mean shear” and “no shear reversal”, whereas it was ",reduce,"d with  atherosclerotically prone waveform, which has “low mean shear” and “shear reversal” [ 102– 104]"
45, Fibrosis marker syndecan-1 and outcome in patients with  heart failure with ,reduce,d and preserved ejection fraction
46, Capillary endothelial surface layer selectively ,reduce,s plasma solute  distribution volume
47, Glycocalyx protection ,reduce,s leukocyte adhesion after  ischemia/reperfusion
48," Interestingly, the protective phenotype in  sdc-1-null mice was lost when isolated sdc1 ectodomains were administered, ",suggesting that,  shed sdc1 enhances bacterial virulence by a probable way of altered innate immunity [ 12]
49," In patients with ischemic heart disease or heart failure, elevation of serum  sdc1 has been associated with worsening cardiac and renal function; ",however, the causal  relationship between degradation of eGC and clinical outcomes is unclear
50, ,however,", the complexity of eGC constituents mediating a poor  prognosis in this population is not well-understood"
51, Soluble sdc1 is thought to be a biologically active mediator of ,interaction," between  extracellular matrix and cancer cells, and may enhance migration and invasion of malignant  cells [ 22]"
52, In addition to the electrostatic  ,interaction," between albumin and eGC, sphingosine-1 phosphate (S1P)-mediated restoration  of the eGC was suggested"
53," They evaluated the diagnostic accuracy of 44 biomarkers for heart failure,  ",including, sdc1
54,"  [45]Netheland, 2033 acute  heart failureProspective cohort During admission, 44  biomarkers ",including,"  syndecan-1qtime to death,  rehospitalization through 30  and 180dayssyndecan-1 showed significant  HR of adverse events, but was  not best biomarker"
55, Overexpression  of sdc1 in stromal fibroblasts or shedding of sdc1 from the cells into tumor  microenvironments ,was associated with a,ccelerated angiogenesis and cancer progression
56," [ 45, 47] ","In addition,"," the interpretation of the tests  requires special attention because the application of C-statistics often eliminates established  risk factors from new models [ 60, 61], and net reclassification is often positive for even  weak markers, leading to overestimation of the real risk"
57,",  with acute ST segment elevation myocardial infarction, sdc1  was weakly correlated with circulating catecholamine level, with marginal association with  ",development of, heart failure ( p=0
58," CONCLUSION Although many studies proposed that endothelial dysfunction, particularly concerning the  eGC, might have intervened between cardiovascular diseases and ",development of," adverse  outcomes, the number of studies on this topic are limited"
59," Tumors— In most tumors, reduced ",Expression of," sdc1 in epithelial-origin tumor cells was  associated with less adhesion of the cells to the extracellular matrix, leading to increased cell  migration/invasion, and eventually poor clinical outcomes [ 16, 17]"
60," In Hodgkin’s lymphoma, with high ",Expression of,"  heparinase, soluble sdc1 stimulated vascular endothelial growth factor (VEGF) receptors on  the adjacent endothelial cells by forming a complex with VEGF [ 28]"
61," In an animal study,  high ",Expression of," sdc1 in stromal fibroblasts increased the density of microvasculature in  the tumors, which was explained by sequestration of pro-angiogenic factors in the tumor  microenvironment [ 29]"
62," In cultured endothelial cells, ",Expression of," heparin  sulfate on the cell surface was accelerated with atheroprotective shear stress waveforms,  which has relatively “high mean shear” and “no shear reversal”, whereas it was reduced with  atherosclerotically prone waveform, which has “low mean shear” and “shear reversal” [ 102– 104]"
63, Increased ,Expression of, syndecan-1 protects against  cardiac dilatation and dysfunction after myocardial infarction
64," Reduced motility of macrophages in sdc1-null mice also appear to  contribute to augmented atherosclerosis, as lymphatic clearance of sdc1 −/− macrophages  was ",significantly, delayed [ 32]
65," One study  reported that the progression of atherosclerosis was favored by an increase in chondroitin  sulfate in the arterial walls [ 40], while another reported that serum soluble sdc1 was  ",significantly," elevated in patients with acute coronary syndrome, suggesting a contributory  effect of eGC damage to atherosclerotic plaque vulnerability [ 41]"
66," Through univariable  analysis, doubling of sdc1 ",significantly, increased the risk of mortality (HR=1
67," When colloids were infused during  major surgery, the majority of infused colloids extravasated, and the eGC volume was  ",significantly, reduced regardless of the type of colloids
68,"Differential sex association  between biomarkers and  mortality, syndecan was  ",significantly," associated with  mortality in women, marginally  in men"
69, ,in patients with," ischemic heart disease or heart failure, elevation of serum  sdc1 has been associated with worsening cardiac and renal function; however the causal  relationship between degradation of eGC and clinical outcomes is unclear"
70," Endothelial glycocalyx in cardiovascular disease Preclinical studies— Oxidized low density lipoprotein cholesterol (ox-LDL) degrades  eGC and enhances adherence of leukocytes to the endothelial surface in mouse cremaster  venules, [ 1] corresponding to the notion of endothelial dysfunction ",in patients with,  dyslipidemia
71," The  Langendorf model of isolated guinea pig hearts demonstrated that degradation of the eGC  led to reduced endothelial barrier function and extravasation of administered starch, which  seems analogous to the fluid shift to the third space as observed ",in patients with, heart failure  [35–37]
72," One study  reported that the progression of atherosclerosis was favored by an increase in chondroitin  sulfate in the arterial walls [ 40], while another reported that serum soluble sdc1 was  significantly elevated ",in patients with," acute coronary syndrome, suggesting a contributory  effect of eGC damage to atherosclerotic plaque vulnerability [ 41]"
73, Several studies investigated the clinical implication of sdc1 ,in patients with, heart failure
74," In another study by the same investigators, serum  soluble syndecan-4 levels showed significant correlation with left ventricular dilation and  reduced left ventricular systolic function ",in patients with," dilated cardiomyopathy, but their  causal relationship was not explained [ 44]"
75,"  Additionally, previous studies demonstrate that peripheral artery vasomotor dysfunction is  prevalent ",in patients with," heart failure [ 65, 66, 69, 70] and that degradation of eGC appeared  to contribute to worse cardiovascular outcomes in patients with heart failure [ 45–47]"
76, ,in patients with," heart  failure, slowing of the incremental elevation in serum sdc1 may provide information on the  dynamics of the eGC replenishment"
77, These findings may be confirmed ,in patients with," severe left ventricular systolic  dysfunction, severe aortic regurgitation, or those who are supported with extracorporeal  mechanical life support, where low shear stress waveforms with shear reversal would be  observed"
78, As increased serum-soluble syndecan ,in patients with," heart failure was associated with  adverse clinical outcomes, preservation of eGC is thought to have a protective effect on  cardiovascular systems"
79, Serum proteoglycans as prognostic biomarkers of  hepatocellular carcinoma ,in patients with, alcoholic cirrhosis
80, Soluble syndecan-1 (sCD138) as a prognostic factor independent  of mutation status ,in patients with, chronic lymphocytic leukemia
81, Evaluation of the  endothelial glycocalyx damage ,in patients with, acute coronary syndrome
82,  The multi-biomarker approach for heart failure ,in patients with, hypertension
83, Heart failure  biomarkers ,in patients with, dilated cardiomyopathy
84, Fibrosis marker syndecan-1 and outcome ,in patients with,  heart failure with reduced and preserved ejection fraction
85, Persistent microcirculatory alterations are  associated with organ failure and death ,in patients with, septic shock
86, Page 17Table 1 Clinical studies that evaluated syndecan-1 as a diagnostic/prognostic factor ,in patients with, cardiovascular disease
87, Author Manuscript Author Manuscript Author Manuscript Author Manuscript ,Although," a growing body of evidence shows degradation of eGC leads to adverse  cardiovascular events, the studies on eGC in the clinical setting remain limited"
88, ,Although," soluble sdc1 from the cells may switch malignant cells from proliferative to  invasive phenotypes [ 27], it is unclear whether a high level of soluble sdc1 resulted from  overproduction of sdc1 or excessive shedding from the cells"
89, ,Although, differences in hazard ratios of sdc1 for 30-day and 180-day  mortality were significant at 1
90, ,Although, the elevated eGC  constituents in serum (i
91,  ,Although, the ex vivo  measurements of vessel thickness is extremely variable (0
92, Shedding of syndecan-1 and endothelial dysfunction in heart failure ,Although," new validation tests are gaining popularity in studies exploring new biomarkers,  the studies mentioned above did not demonstrate high C-statistics, and the improvement of  net reclassification was only moderate"
93," BNP or NT- proBNP), ",Although, addition of novel biomarkers to the traditional diagnostic model may  improve discriminative ability
94, ,Although," the authors suggested  “wash-out” of the eGC as a shedding mechanism, it was not clarified whether the “wash- out” was induced by volume expansion or trauma from surgery [ 57]"
95, CONCLUSION ,Although," many studies proposed that endothelial dysfunction, particularly concerning the  eGC, might have intervened between cardiovascular diseases and development of adverse  outcomes, the number of studies on this topic are limited"
96," In patients with ischemic heart disease or heart failure, elevation of serum  sdc1 has been associated with worsening cardiac and renal function; however ",the causal,  relationship between degradation of eGC and clinical outcomes is unclear
97, Firewall function of  the endothelial glycocalyx in ,the regulation of, sodium homeostasis
98, ,"Moreover,", the negative charge of sulfated glycosaminoglycan polymers in  eGC and their direct contact to sodium in circulating blood confers more weight to the idea  of sodium buffering [ 75]
