,before,word,after
0, Most HF hospi- talizations are related to sodium (Naþ) and ﬂuid retention ,resulting from, neurohumoral up-regulation
1,"I ti sw e llk now n that, ",compared with," healthy subjects, endothelium-dependent NO-mediated vasodilation is impaired in skeletal muscle and in the coronary and pulmonary circulations of patients with chronic HF (65–67)"
2, How ,to evaluate, the microcirculation: report of around table conference
3," T h ee G Ch a sm u l t i p l ev a s o p r o t e c t i v ef u n c t i o n s , and it shields the ",underlying, apical side of the endothelium from the plas ma
4," Importantly, the eGC also actsas a mechanotransducer, transmitting shear stresssignals into speci ﬁc cell signaling processes in theFIGURE 2 The Endothelial Glycocalyx Blood vessel lumen Glycocalyx Sub-glycocalyx space Endothelium Adhesion molecule Sodium GlycosaminoglycanSPIRONOLACTONE High [Na+] NATRIURETIC PEPTIDE OXIDATIVE STRESS INFLAMMATIONShear Stress The endothelial glycocalyx (eGC) is a network of glycosaminoglycans (GAGs) connected to the ",underlying, endothelium by adhesion molecules
5, It acts as a mechanotransducer and shields the ,underlying, epithelium from blood cells
6," It is speculated that Naþ will not be buffered when the eGC is damaged, andinstead of a gradual presentation to the ",underlying," endothelium, large amounts of Na þcations will reach the apical side of the endothelium and intercellularclefts at once"
7," Moreover, although a signi ﬁcant increase in cardiac ﬁlling pressure is consistently observed days before an ADHF admission, a broad range of plasmavolumes has been ",observed in a,"DHF patients (5,6) "
8,"F u r t h e r m o r e ,t h e r e are currently several methods ",to determine," eGCintegrity, such as measurements of the products shedin plasma (e"
9," The resulting imbalance leads to Naþaccumulation, ",followed by," interstitial and intravascular volumeretention, and, eventually, to edema and increasedcardiac ﬁlling pressures (3)"
10,"I ti sw e llk now n that, compared with healthy subjects, endothelium-dependent NO",-mediated, vasodilation is impaired in skeletal muscle and in the coronary and pulmonary circulations of patients with chronic HF (65–67)
11, Differentiation is ,based on, the vessel width and ﬂow direction
12, Post hoc software analyses allow assessment of the integrity of the endothelial glycocalyx (eGC) ,based on, the mean distance between RBCs and the vesselwall—and thus mean height of the eGC (blue bars/arrows) —and the appearance of the ﬂow of RBCs in the capillaries (aligned and homoge- nously distributed along the capillary when the eGC functions properly vs
13, Direct in vivo ,evaluation of, pulmonary arterial pathology in chronic congestive heart failure with catheter-based intravascular ultrasound imaging
14," Moreover, ",although," a signi ﬁcant increase in cardiac ﬁlling pressure is consistently observed days before an ADHF admission, a broad range of plasmavolumes has been observed in ADHF patients (5,6) "
15," However, ",although," patients with decompensated HF always present with elevatedﬁlling pressures (8), the occurrence of pulmonary and peripheral edema are correlated poorly with pulmo-nary capillary wedge pres sure and central venous pressure, respectively (8,41,42) "
16," Multiple GAG chains can anchor to a linear linking protein, forming a large brush-shaped proteoglycan that contains ",numerous, anioniccharges
17,"I nt h er e v e r s e situation of salt scarcity, GAG polymerization and sulfation are ",reduce,"d, and a subsequent reduction in the matrix is associated with gradual mobilization ofNa þfrom tissue reservoirs (19)"
18, It ,reduce,"s vascular permeability, restricts molecules from reaching theendothelium, and prevents interaction of plateletsand leucocytes with endothelial cell adhesion mole-cules (47,48) "
19, HIGH INTRAENDOTHELIAL SODIUM CONCENTRATION ,reduce,S NITRIC OXIDE PRODUCTION
20,Na þentry via EnNaCs also ,reduce,s endothelial NO synthase activity via the PI3K/AKT signaling pathway(57–59)
21," However , despite their widely demonstrated bene ﬁcial effects in patients with HF with ",reduce,"d ejection fractions, mineralocorticoid re-ceptor antagonists are signi ﬁcantly underused, espe- cially during ADHF, when further mobilization of interstitial Na þmay be essential (96,97) "
22, Plasma sodium stiffens vascular endotheliumand ,reduce,s nitric oxide release
23, Endothelium- derived nitric oxide ,reduce,s baseline venous tone inawake instrumented rats
24, Clinical course and predictive value of congestion during hospitaliza-tion in patients admitted for worsening signs andsymptoms of heart failure with ,reduce,d ejectionfraction: ﬁndings from the EVEREST trial
25,"I m - portantly, spironolactone stabilizes altered GAGs,",suggesting that," unrestrained neurohumoral stimula-tion in HF further contributes to the dysfunctionof the GAG network (43,44) "
26," Long-term Na þoverload and neurohumoral up-regulation in HF cause dysfunction of interstitial GAG networks, ",resulting in," increased vascular resistance and permeability, as well asedema"
27, ,however,", beforeadmission for acute decompensated heart failure (ADHF), patients display a wide spectrum of weight changes, with <50% gaining substantial weight ( >1 kg)(4)"
28, ,however,", if an excessively high Naþconcentration in the GAG network is prolonged, the conformation ofthe macromolecules will eventually be altered, lead-ing to a dysfunctional GAG network, which results ina loss of interstitial network integrity and buffering capacity ( Figure 1C )"
29,,however,", the limited elastic properties (and thus, lowcompliance) of the interstitial GAG network preventﬂuid accumulation (33,34) "
